step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
113,9.8113522167,0.0571881457,1.0001155373,100.000000,0.54628571,-0.0000033081,0.0836778603
115,9.5744038010,0.0561170325,1.0000837392,100.000000,0.54628571,-0.0000041539,0.0834606457
117,9.3534626682,0.0548795285,1.0000449241,100.000000,0.54628571,-0.0000032942,0.0832304685
119,9.1482234860,0.0534313856,1.0000021020,100.000000,0.54628571,0.0000003461,0.0829891285
121,8.9569414740,0.0517165677,0.9999569335,100.000000,0.54628571,0.0000060855,0.0827387836
123,8.7805929881,0.0497039736,0.9999099381,100.000000,0.54628571,0.0000092974,0.0825899944
125,8.6182952093,0.0474159066,0.9998613748,100.000000,0.54628571,0.0000054645,0.0824505745
127,8.4717555462,0.0449116358,0.9998116057,100.000000,0.54628571,-0.0000013697,0.0823069037
129,8.3435533987,0.0422342811,0.9997609341,100.000000,0.54628571,-0.0000018230,0.0821596235
131,8.2353852568,0.0393834275,0.9997095007,100.000000,0.54628571,0.0000042084,0.0820094317
133,8.1482899155,0.0363327194,0.9996574381,100.000000,0.54628571,0.0000068240,0.0818569234
135,8.0795039911,0.0330435162,0.9996050194,100.000000,0.54628571,0.0000018467,0.0817024594
137,8.0244202351,0.0294484643,0.9995526126,100.000000,0.54628571,-0.0000030315,0.0815472596
139,7.9790219881,0.0254323022,0.9995005666,100.000000,0.54628571,-0.0000011431,0.0813968240
141,7.9429326660,0.0208368256,0.9994491608,100.000000,0.54628571,0.0000032570,0.0812647887
143,7.9222755761,0.0154993201,0.9993985948,100.000000,0.54628571,0.0000040281,0.0811717147
145,7.9272354258,0.0093290890,0.9993489818,100.000000,0.54628571,0.0000026666,0.0811606512
147,7.9674802857,0.0023995835,0.9993003726,100.000000,0.54628571,0.0000026058,0.0811952840
149,8.0481338408,-0.0050058620,0.9992527937,100.000000,0.54628571,0.0000025555,0.0812518084
151,8.1697352537,-0.0124491888,0.9992062484,100.000000,0.54628571,0.0000010184,0.0813041158
153,8.3304114439,-0.0194899322,0.9991606967,100.000000,0.54628571,0.0000001283,0.0813330815
155,8.5250951208,-0.0258640811,0.9991160780,100.000000,0.54628571,0.0000012874,0.0813331994
157,8.7442690665,-0.0315751255,0.9990723789,100.000000,0.54628571,0.0000026517,0.0813166578
159,8.9752754523,-0.0368103350,0.9990296739,100.000000,0.54628571,0.0000027349,0.0813105025
161,9.2060853945,-0.0417300670,0.9989881008,100.000000,0.54628571,0.0000022785,0.0813253752
163,9.4291574763,-0.0463200442,0.9989477950,100.000000,0.54628571,0.0000020567,0.0813969189
165,9.6423124833,-0.0504519622,0.9989088335,100.000000,0.54628571,0.0000019174,0.0814269017
167,9.8470304030,-0.0540669553,0.9988712233,100.000000,0.54628571,0.0000017917,0.0815054772
169,10.0461509161,-0.0572597515,0.9988349305,100.000000,0.54628571,0.0000018713,0.0816024790
171,10.2419223232,-0.0601847674,0.9987999197,100.000000,0.54628571,0.0000020865,0.0816963447
173,10.4341991880,-0.0629303082,0.9987661768,100.000000,0.54628571,0.0000021784,0.0817775750
175,10.6189640312,-0.0655114161,0.9987337079,100.000000,0.54628571,0.0000020833,0.0818203496
177,10.7889997006,-0.0679431745,0.9987025265,100.000000,0.54628571,0.0000019801,0.0818760297
179,10.9374788189,-0.0702628312,0.9986726398,100.000000,0.54628571,0.0000020112,0.0819192722
181,11.0621653186,-0.0724797845,0.9986440445,100.000000,0.54628571,0.0000021233,0.0819491027
183,11.1666341435,-0.0745460039,0.9986167303,100.000000,0.54628571,0.0000022475,0.0819661679
185,11.2571025358,-0.0763904428,0.9985906853,100.000000,0.54628571,0.0000024166,0.0819732320
187,11.3375639957,-0.0779561351,0.9985658981,100.000000,0.54628571,0.0000026367,0.0819783742
189,11.4073738955,-0.0791786384,0.9985423584,100.000000,0.54628571,0.0000028529,0.0819880651
191,11.4630061722,-0.0799183078,0.9985200564,100.000000,0.54628571,0.0000030298,0.0819927305
193,11.5026219337,-0.0798911371,0.9984989814,100.000000,0.54628571,0.0000031031,0.0819905333
195,11.5309435708,-0.0786241937,0.9984791192,100.000000,0.54628571,0.0000029410,0.0819812570
